Symbol	RAPdb	MSU
OsCTR3	Os04g0610900	LOC_Os04g52140
OsCu|Zn-SOD	Os08g0561700	LOC_Os08g44770
OsCUL3a	Os02g0746000	LOC_Os02g51180
OsCutA1	Os10g0378300	LOC_Os10g23204
OsCV	Os05g0575000	LOC_Os05g49940
OsCW-ZF7	Os07g0669800|Os07g0669900	LOC_Os07g47360
OsCYCP1;1	Os05g0398000	LOC_Os05g33040
OsCYN	Os10g0471300	LOC_Os10g33270
OsCYO1	Os09g0458400	LOC_Os09g28480
OsCYP-25|CYP19-3	Os09g0571400	LOC_Os09g39780
OsCYP19-4	Os06g0708400	LOC_Os06g49470
OsCYP2|OsCyp2-P|LRT2	Os02g0121300	LOC_Os02g02890
OsCYP20-2	Os05g0103200	LOC_Os05g01270
OsCYP21-4	Os07g0476500	LOC_Os07g29390
OsCYP51G3	Os05g0211100	LOC_Os05g12040
Oscyp71Z2|CYP71Z2	Os07g0217600	LOC_Os07g11739
OsCYP84A	Os10g0320100	LOC_Os10g17260
OsCYP96B4|BSH1|SD37	Os03g0140400	LOC_Os03g04680
OsCYT-INV1|SRT5	Os02g0550600	LOC_Os02g34560
OscZOG1	Os04g0271700	LOC_Os04g20330
OsD-LDH	Os07g0163000	LOC_Os07g06890
OsDBH	Os04g0486800	LOC_Os04g40970
OsDCL1	Os03g0121800	LOC_Os03g02970
OsDCL2a	Os03g0583900	LOC_Os03g38740
OsDCL2b	Os09g0315100	LOC_Os09g14610
OsDCL3a	Os01g0909200	LOC_Os01g68120
OsDCL3b	Os10g0485600	LOC_Os10g34430
OsDDB1	Os05g0592400	LOC_Os05g51480
OsDDM1a	Os09g0442700	LOC_Os09g27060
OsDDM1b	Os03g0722400	LOC_Os03g51230
OsDEES1|OsWAK91	Os09g0561600	LOC_Os09g38850
OsDEF7|CAL1	Os02g0629800	LOC_Os02g41904
OsDEF8	Os03g0130300	LOC_Os03g03810
OsDEG10	Os08g0139000	LOC_Os08g04440
OsDEP	Os11g0484000	LOC_Os11g29370
OsDERF1	Os08g0454000	LOC_Os08g35240
OsDET1	Os01g0104600	LOC_Os01g01484
OsDEX1	Os03g0825700	LOC_Os03g61050
OsDfr|OsA1	Os01g0633500	LOC_Os01g44260
OsDG2	Os02g0606000	LOC_Os02g39340
OsDGAT	Os05g0196800	LOC_Os05g10810
OsDGL1	Os07g0209000	LOC_Os07g10830
OsDHAR2	Os06g0232600	LOC_Os06g12630
OsDHHC1	Os02g0819100	LOC_Os02g57370
OsDhn1|OsLip9	Os02g0669100	LOC_Os02g44870
OsDHODH1	Os02g0736400	LOC_Os02g50350
OsDi19-4	Os02g0304900	LOC_Os02g20170
OsDIL|OsLTP6	Os10g0148000	LOC_Os10g05720
OsDIS1	Os03g0356414	LOC_Os03g24040
OsDjA6	Os04g0549600	LOC_Os04g46390
OsDjA7	Os05g0333500	LOC_Os05g26902
OsDjA8	Os05g0334400	LOC_Os05g26954|LOC_Os05g26926
OsDLK	Os07g0105700	LOC_Os07g01490
OsDMAS1	Os03g0237100	LOC_Os03g13390
OsDMC1|DMC1B	Os11g0146800	LOC_Os11g04954
OsDNLZ1	Os06g0724400	LOC_Os06g50870
OsDof12|OsCDF1	Os03g0169600	LOC_Os03g07360
OsDOF18	Os04g0678400	LOC_Os04g58190
OsDof25	Os08g0490100	LOC_Os08g38220
OsDof4	Os01g0673700	LOC_Os01g48290
OsDOG|OsSAP11	Os08g0504700	LOC_Os08g39450
OsDOS	Os01g0192000	LOC_Os01g09620
OsDPE2	Os07g0662900	LOC_Os07g46790
OsDR10	Os08g0155900	LOC_Os08g05960
OsDR11	Os12g0460800	LOC_Os12g27520
OsDR8	Os07g0529600	LOC_Os07g34570
OsDRB1-1	Os05g0307400	LOC_Os05g24160
OsDRB1-2	Os11g0109900	LOC_Os11g01869
OsDRB1-4	Os08g0384100	LOC_Os08g29530
OsDRB3	Os05g0150400	LOC_Os05g05790
OsDREB1A|OsDREBL|OsCBF3	Os09g0522200	LOC_Os09g35030
OsDREB1B	Os09g0522000	LOC_Os09g35010
OsDREB1D	Os06g0165600	LOC_Os06g06970
OsDREB1E|OsDREB1-1|CR350	Os04g0572400	LOC_Os04g48350
OsDREB1F|RCBF2	Os01g0968800	LOC_Os01g73770
OsDREB2A	Os01g0165000	LOC_Os01g07120
OsDREB2B	Os05g0346200	LOC_Os05g27930
OsDREB4-1|CR223	Os02g0656600	LOC_Os02g43940
OsDREB4-2|CR250	Os04g0549700	LOC_Os04g46400
OsDRF1	Os04g0431200	LOC_Os04g35190
OsDRM2	Os03g0110800	LOC_Os03g02010
OsDRP1E	Os09g0572900	LOC_Os09g39960
OsDSG1	Os09g0434200	LOC_Os09g26400
OsDSHCT	Os11g0176200	LOC_Os11g07500
OsDsPTP1	Os01g0390900	LOC_Os01g29469
OsDSR-1	Os10g0177200	LOC_Os10g09850
OsDSR2	Os01g0839200	LOC_Os01g62200
OsDSS1	Os03g0140300	None
OsDSSR1	Os09g0109600	LOC_Os09g02180
OsDT11	Os11g0211800	LOC_Os11g10590
OsDTC1|OsKS3	Os02g0570400	LOC_Os02g36140
OsDTC2|OsKSL11	Os11g0474800	LOC_Os11g28530
OsDTS2|OsKSL4|OsKS4	Os04g0179700	LOC_Os04g10060
OsDUF26|OsCRRSP55	Os03g0277600	LOC_Os03g16950
OsDUR3	Os10g0580400	LOC_Os10g42960
OsDVR	Os03g0351200	LOC_Os03g22780
OsDWARF	Os03g0602300	LOC_Os03g40540
OsDWARF4|CYP90B2	Os03g0227700	LOC_Os03g12660
OsDXR	Os01g0106900	LOC_Os01g01710
OsDXS|OsDXS3	Os07g0190000	LOC_Os07g09190
OsE2F1	Os02g0537500	LOC_Os02g33430
OsE2F2	Os12g0158800	LOC_Os12g06200
OsEATB	Os09g0457900	LOC_Os09g28440
OsEBP-89	Os03g0182800	LOC_Os03g08460
OsEBS	Os05g0591400	LOC_Os05g51360
osECA1	Os03g0281600	LOC_Os03g17310
OsECS	Os05g0129000	LOC_Os05g03820
OsEDR1|OsACDR1|OsMAPKKK1|SPL3	Os03g0160100	LOC_Os03g06410
OsEDS1	Os09g0392100	LOC_Os09g22450
OsEE1|OsEno4	Os10g0167300	LOC_Os10g08550
OsEF3|OsELF3-2|OsELF3.2	Os01g0566100|Os01g0566050	LOC_Os01g38530
OsEGL1	Os05g0375400	LOC_Os05g31140
OsEGL2	Os01g0942300	LOC_Os01g71474
OsEGY3	Os03g0729000	LOC_Os03g51920
OseIF3e|EIF3E	Os07g0222300	LOC_Os07g12110
OseIF3f	Os05g0104800	LOC_Os05g01450
OseIF4A	Os02g0146600	LOC_Os02g05330
OsEIL1|MHZ6	Os03g0324300	LOC_Os03g20790
OsEIL2	Os07g0685700	LOC_Os07g48630
OsEIN2	Os07g0155600	LOC_Os07g06130
OsEm|EMP1|OsEm1	Os05g0349800	LOC_Os05g28210
OsEMF2a	Os04g0162100	LOC_Os04g08034
OsEMF2b	Os09g0306800	LOC_Os09g13630
OsEMSA1	Os10g0524300	LOC_Os10g38040
OsENA1	Os11g0151500	LOC_Os11g05390
OsEno1	Os09g0375000	LOC_Os09g20820
OsEno2	Os03g0248600	LOC_Os03g14450
OsEno3	Os03g0266200	LOC_Os03g15950
OsEno5	Os06g0136600	LOC_Os06g04510
OsEno6	None	None
OsEno7	None	None
OsENOD93-1	Os06g0142350	LOC_Os06g05010
OsENT2	Os07g0557100	LOC_Os07g37100
OsEPFL9	Os01g0824500	LOC_Os01g60900
OsERdj3A	Os03g0293000	LOC_Os03g18200
OsEREBP1	Os02g0782700	LOC_Os02g54160
OsEREBP2|ERF99	Os01g0868000	LOC_Os01g64790
OsERF1	Os04g0546800	LOC_Os04g46220
OsERF109	Os09g0309700	LOC_Os09g13940
OsERF2	Os06g0181700	LOC_Os06g08340
OsERF48|OsDRAP1	Os08g0408500	LOC_Os08g31580
OsERF71	Os06g0194000	LOC_Os06g09390
OsERF922	Os01g0752500	LOC_Os01g54890
OsEro1	Os03g0733800	LOC_Os03g52340
OsETOL1	Os03g0294700	LOC_Os03g18360
OsETT2|OsETTIN2	Os01g0670800	LOC_Os01g48060
OsETTIN1|OsARF15	Os05g0563400	LOC_Os05g48870
OsEXO1	Os01g0777300	LOC_Os01g56940
OsExo70-F2	Os02g0505400	LOC_Os02g30230
OsExo70-F3	Os04g0382200	LOC_Os04g31330
OsEXP1	Os04g0228400	LOC_Os04g15840
OsEXPA10	Os04g0583500	LOC_Os04g49410
OsEXPA17	Os06g0108600	LOC_Os06g01920
OsEXPA30	Os10g0535900	LOC_Os10g39110
OsEXPA8	Os01g0248900	LOC_Os01g14650
OsEXPB2	Os10g0555700	LOC_Os10g40710
OsEXPB3	Os10g0555900	LOC_Os10g40720
OsEXPB5	Os04g0552200	LOC_Os04g46650
OsF5HL	Os06g0349700	LOC_Os06g24180
OsF5HL2	Os03g0112900	LOC_Os03g02180
OsFAD2|OsFAD2-1	Os02g0716500	LOC_Os02g48560
OsFAD3	Os12g0104400	LOC_Os12g01370
OsFAD6	Os08g0440900	LOC_Os08g34220
OsFAD7	Os03g0290300	LOC_Os03g18070
OsFAD8	Os07g0693800	LOC_Os07g49310
OsFAH1	Os12g0628400	LOC_Os12g43363
OsFAH2	Os03g0780800	LOC_Os03g56820
OsFBH1	Os08g0506700	LOC_Os08g39630
OsFBK1	Os01g0659900	LOC_Os01g47050
OsFBK12	Os03g0171600	LOC_Os03g07530
OsFBN5	Os04g0422000	LOC_Os04g34460
OsFbx352	Os10g0127900	LOC_Os10g03850
OsFD1	Os09g0540800	LOC_Os09g36910
OsFdC2	Os03g0685000	LOC_Os03g48040
OsFEN-1	Os05g0540100	LOC_Os05g46270
OsFEN-1b	Os03g0834000	None
OsFER1	Os11g0106700	LOC_Os11g01530
OsFER2	Os12g0106000	LOC_Os12g01530
OsFH1	Os01g0897700	LOC_Os01g67240
OsFH15	Os09g0517600	LOC_Os09g34180
OsFIE1|Epi-df	Os08g0137250	LOC_Os08g04290
OsFIE2	Os08g0137100	LOC_Os08g04270
OsFIGNL1	Os12g0443800	LOC_Os12g25720
OsFKBP16-3	Os08g0541400	LOC_Os08g42850
OsFKI	Os01g0894300	LOC_Os01g66940
OsFKII	Os08g0113100	LOC_Os08g02120
OsFLN2|HSA1	Os03g0602600	LOC_Os03g40550
OsFlot	Os10g0481500	LOC_Os10g34040
OsFLS2	Os04g0618700	LOC_Os04g52780
OsFMO|OsCOW1|NAL7	Os03g0162000	LOC_Os03g06654
OsFOR1|PGIP	Os07g0568700	LOC_Os07g38130
OsFPPS1|FPPS1|FPPS	Os01g0703400	LOC_Os01g50760
OsFPPS2|FPPS2	Os05g0543400	LOC_Os05g46580
OsFPPS3	Os04g0657100	LOC_Os04g56210
OsFRDL1	Os03g0216700	LOC_Os03g11734
OsFRDL2	Os10g0206800	LOC_Os10g13940
OsFRDL4	Os01g0919100	LOC_Os01g69010
OsFTIP1	Os06g0614000	LOC_Os06g41090
OsFtsH2	Os06g0669400	LOC_Os06g45820
OsFWL4	Os03g0829900	LOC_Os03g61440
OsFY	Os01g0951000	LOC_Os01g72220
Osg1	Os01g0947700	LOC_Os01g71930
OsG6PDH1	Os02g0600400	LOC_Os02g38840
OsG6PDH2	Os04g0485300	LOC_Os04g40874
OsG6PDH3	Os07g0406300	LOC_Os07g22350
OsG6PDH5	Os03g0318500	LOC_Os03g20300
OsGA20ox1|GNP1	Os03g0856700	LOC_Os03g63970
OsGA20ox3|GA20ox3	Os07g0169700	LOC_Os07g07420
OsGA2ox1	Os05g0158600	LOC_Os05g06670
OsGA2ox5	Os07g0103500	LOC_Os07g01340
OsGA2ox6	Os04g0522500	LOC_Os04g44150
OsGA3ox1	Os05g0178100	LOC_Os05g08540
OsGABA-T	Os02g0112900	LOC_Os02g02210
OsGAD1	Os08g0465800	LOC_Os08g36320
OsGAD2	Os04g0447800	LOC_Os04g37500
OsGAE1	Os01g0201600	LOC_Os01g10490
OsGAP1	Os02g0327000	LOC_Os02g22130
OsGapC2	Os04g0486600	LOC_Os04g40950
OsGAPDH	Os08g0440800	LOC_Os08g34210
OsGAPDH1	Os02g0601300	LOC_Os02g38920
OsGAS2	Os01g0276800	LOC_Os01g16970
OsGASR1	Os03g0760800	LOC_Os03g55290
OsGASR2	Os04g0465300	LOC_Os04g39110
OsGATA12	Os03g0831200	LOC_Os03g61570
OsGATA28	Os11g0187200	LOC_Os11g08410
OsGatB	Os11g0544800	LOC_Os11g34210
OsGBSSII	Os07g0412100	LOC_Os07g22930
OsGCD1	Os01g0801700	LOC_Os01g58750
OsGDCH	Os10g0516100	LOC_Os10g37180
OsGDH1	Os03g0794500	LOC_Os03g58040
OsGDH2	Os04g0543900	LOC_Os04g45970
OsGDH3	Os02g0650900	LOC_Os02g43470
OsGDI1	Os05g0418000	LOC_Os05g34540
OsGDI2	Os05g0304400	LOC_Os05g23860
OsGDI3	Os03g0277000	LOC_Os03g16900
OsGEN-L|OsGEN1	Os09g0521900	LOC_Os09g35000
OsGER1	Os08g0189300	LOC_Os08g08980
OsGF14e|GF14e|GID2	Os02g0580300	LOC_Os02g36974
OsGGP	Os12g0190000	LOC_Os12g08810
OsGGPPS1	Os07g0580900	LOC_Os07g39270
OsGGPPS2|OsGRP	Os02g0668100	LOC_Os02g44780
OsGGR2	Os01g0265000	LOC_Os01g16020
OsGGT	Os10g0555100	LOC_Os10g40640
OsGH	Os08g0518800	LOC_Os08g40680
OsGH3-2	Os01g0764800	LOC_Os01g55940
OsGH3.1|OsGH3-1|LC1	Os01g0785400	LOC_Os01g57610
OsGH3.13|TLD1	Os11g0528700	LOC_Os11g32520|LOC_Os11g32510
OsGH3.8|OsGH3-8|OsMGH3	Os07g0592600	LOC_Os07g40290
OsGH9A3	Os03g0736300	LOC_Os03g52630
OsGH9B1	Os02g0733300	LOC_Os02g50040
OsGI	Os01g0182600	LOC_Os01g08700
OsGIRL1	Os02g0215900	LOC_Os02g12440
OsGL1-1|WSL2	Os09g0426800	LOC_Os09g25850
OsGL1-3	Os06g0653000	LOC_Os06g44300
OsGL1-6	Os02g0814200	LOC_Os02g56920
OsglHAT1|GW6a	Os06g0650300	LOC_Os06g44100
OsGLIP1	Os06g0129600	LOC_Os06g03900|LOC_Os06g03890
OsGLIP2	Os06g0156700	LOC_Os06g06260
OsGLK1	Os06g0348800	LOC_Os06g24070
OsGLN1	Os01g0946700	LOC_Os01g71830
OsGLN2	Os01g0944700	LOC_Os01g71670
OsGlnB	Os05g0133100	LOC_Os05g04220
OsGLP1	Os08g0460000	LOC_Os08g35760
OsGLP2-1	Os02g0532500	LOC_Os02g32980
OsGLR2.1	Os09g0429200	LOC_Os09g25980
OsGLR3.2	Os02g0117500	LOC_Os02g02540
OsGLU1|OsGH9A1	Os03g0329500	LOC_Os03g21210
OsGLU3|RT	Os04g0497200	LOC_Os04g41970
OsGluRS|Cde1(t)	Os02g0121000	LOC_Os02g02860
OsGlyI	Os07g0657100	LOC_Os07g46360
OsGLYI-8	Os05g0295800	LOC_Os05g22970
OsGLYII1|OsETHE1	Os01g0667200	LOC_Os01g47690
OsGLYII2	Os03g0332400	LOC_Os03g21460
OsGLYII3	Os09g0516600	LOC_Os09g34100
OsGLYR1	Os02g0562700	LOC_Os02g35500
OsGLYR2	Os01g0574600	LOC_Os01g39270
OsGME1	Os10g0417600	LOC_Os10g28200
OsGME2	Os11g0591100	LOC_Os11g37890
OsGMST1	Os02g0274900	LOC_Os02g17500
OsGNA1	Os09g0488000	LOC_Os09g31310
OsGORK|OsK5.2	Os06g0250600	LOC_Os06g14030
OsGPAT3	Os11g0679700	LOC_Os11g45400
OsGPCR	Os06g0199800	LOC_Os06g09930
OsGPPS	Os01g0248701	LOC_Os01g14630
OsGPT	Os08g0187800	LOC_Os08g08840
OsGPT2-3	Os07g0523400	LOC_Os07g33910
OsGPX1	Os04g0556300	LOC_Os04g46960
OsGpx3|GPX3|OsGPx03	Os02g0664000	LOC_Os02g44500
Osgr-rbp4|Osgrp1	Os12g0632000	LOC_Os12g43600
OsGR1	Os03g0163300	LOC_Os03g06740
OsGR2|RGRC2	Os02g0813500	LOC_Os02g56850
OsGR3|GR3	Os10g0415300	LOC_Os10g28000
OsGRAS19|OsSCL7	Os03g0723000	LOC_Os03g51330
OsGRAS23	Os04g0590400	LOC_Os04g50060
OsGRF1|rhd1	Os02g0776900	LOC_Os02g53690
OsGRF10	Os02g0678800	LOC_Os02g45570
OsGRF3	Os04g0600900	LOC_Os04g51190
OsGRF5	None	LOC_Os06g02560
OsGRF6	Os03g0729500	LOC_Os03g51970
Osgrp-2	Os10g0450900	LOC_Os10g31330
OsGrx_C2.1	Os02g0618100	LOC_Os02g40500
OsGrx_C7	Os01g0368900	LOC_Os01g27140
OsGrx|OsGrxC2;2	Os04g0508300	LOC_Os04g42930
OsGrx10	Os02g0646400	LOC_Os02g43180
OsGRX19|MIL1	Os07g0151100	LOC_Os07g05630
OsGRX20	Os08g0558200	LOC_Os08g44400
OsGRX6	Os01g0667900	LOC_Os01g47760
OsGRX8	Os02g0512400	LOC_Os02g30850
OsGRXS17	Os10g0500700	LOC_Os10g35720
OsGS|OsGS1|GS1|OsGS1;1|OsGLN1;1	Os02g0735200	LOC_Os02g50240
OsGS1;3|OsGLN1;3	Os03g0712800	LOC_Os03g50490
OsGS2|lambdaGS31	Os04g0659100	LOC_Os04g56400
OsGSK1	Os01g0205700	LOC_Os01g10840
OsGSK4	Os06g0547900	LOC_Os06g35530
OsGSK5	Os03g0841800	LOC_Os03g62500
OsGSR1	Os06g0266800	LOC_Os06g15620
OsGSTL2	Os03g0283100	LOC_Os03g17470
OsGSTT1	Os11g0588300	LOC_Os11g37730
OsGSTU17	Os09g0467200	LOC_Os09g29200
Osgstu3	Os10g0528300	None
Osgstu4	Os10g0528400	LOC_Os10g38489
OsGSTZ2	Os12g0210300	LOC_Os12g10730
OsGT1	Os01g0262600	LOC_Os01g15780
OsGT47A	Os01g0926600	LOC_Os01g70190
OsGT61-1|XAX1	Os02g0329800	LOC_Os02g22380
OsGUN4	Os11g0267000	LOC_Os11g16550
OsGWD1	Os06g0498400	LOC_Os06g30310
OsGZF1	Os07g0668600	LOC_Os07g47240
OSH1|Oskn1	Os03g0727000	LOC_Os03g51690
OSH10	Os03g0673000	LOC_Os03g47016
OSH3	Os03g0727200|Os03g0727150	LOC_Os03g51710
Osh36|OsAMTR1	Os05g0475400	LOC_Os05g39770
OSH43	Os03g0771500	LOC_Os03g56110
OSH45	Os08g0292900	LOC_Os08g19650
OSH6	Os01g0302500	LOC_Os01g19694
OSH71|Oskn2	Os05g0129700	LOC_Os05g03884
OsHAC1;1	Os02g0102300	LOC_Os02g01220
OsHAC1;2	Os04g0249600	LOC_Os04g17660
OsHAC4	Os02g0157600	LOC_Os02g06290
OsHAC703	Os02g0137500	LOC_Os02g04490
OsHAD1	Os03g0834050	LOC_Os03g61829
OsHAF701	Os06g0645700	LOC_Os06g43790
OsHAK1	Os04g0401700	LOC_Os04g32920
OsHAK10	Os06g0625900|Os06g0625800|Os06g0626050	LOC_Os06g42030
OsHAK16	Os03g0575200	LOC_Os03g37840
OsHAK2	Os01g0935500	LOC_Os01g70940
OsHAK21	Os03g0576200	LOC_Os03g37930
OsHAK5	Os01g0930400	LOC_Os01g70490
OsHAL3	Os06g0199500	LOC_Os06g09910
OsHAM701	Os07g0626600	LOC_Os07g43360
OsHAP2E	Os03g0411100	LOC_Os03g29760
OsHAP3A	Os01g0834400	LOC_Os01g61810
OsHAP3B	Os05g0463800	LOC_Os05g38820
OsHAP3C	Os05g0573500	LOC_Os05g49780
OsHAP3E	Os02g0725700	LOC_Os02g49370
OsHAPL1	Os05g0494100	LOC_Os05g41450
OSHB1|LF1	Os03g0109400	LOC_Os03g01890
OSHB2	Os10g0480200	LOC_Os10g33960
OSHB3|OsHox33	Os12g0612700	LOC_Os12g41860
OSHB4|OsHox32	Os03g0640800	LOC_Os03g43930
OSHB5	Os01g0200300	LOC_Os01g10320
OsHBP1b	Os01g0279900	LOC_Os01g17260
OsHCAR	Os04g0320100	LOC_Os04g25400
OsHCI1	Os10g0445400	LOC_Os10g30850
OsHDAC1	Os06g0583400	LOC_Os06g38470
OsHDR	Os03g0731900	LOC_Os03g52170
OsHDS	Os02g0603800	LOC_Os02g39160
OsHDT1|HDT701	Os05g0597100	LOC_Os05g51830
OsHESO1	Os01g0846450	LOC_Os01g62780
OsHFP	Os04g0213100	LOC_Os04g13540
OsHGGT|HGGT|SGD1|RTD1	Os06g0658900	LOC_Os06g44840
OsHI-LOX	Os08g0508800	LOC_Os08g39840
OsHI-XIP	Os05g0247100	LOC_Os05g15770
OsHIGD2	Os07g0673900	LOC_Os07g47670
OsHIP1|HAF1	Os04g0648800	LOC_Os04g55510
OsHIR1	Os08g0398400	LOC_Os08g30790
OsHIR3	Os05g0591900	LOC_Os05g51420
OsHKT1;1|OsHKT4	Os04g0607500	LOC_Os04g51820
OsHKT1;3	Os02g0175000	LOC_Os02g07830
OsHKT1;4	Os04g0607600	LOC_Os04g51830
OsHKT1;5|SKC1|OsHKT8	Os01g0307500	LOC_Os01g20160
OsHKT2;1|OsHKT1	Os06g0701700	LOC_Os06g48810
OsHKT2;2	None	None
OsHKT2;4	Os06g0701600	LOC_Os06g48800
OsHMA2|OsHMA2v	Os06g0700700	LOC_Os06g48720
OsHMA4	Os02g0196600	LOC_Os02g10290
OsHMA5	Os04g0556000	LOC_Os04g46940
OsHMA9	Os06g0665800	LOC_Os06g45500
OsHO2|HO2|OsYLC2	Os03g0395000	LOC_Os03g27770
OsHOL1	Os03g0843800	LOC_Os03g62670
OsHOL2	Os06g0153900	LOC_Os06g06040
OsHORZ1	Os01g0861700	LOC_Os01g64250
OsHOS1	Os03g0737100	LOC_Os03g52700
OsHox1	Os10g0561800	LOC_Os10g41230
Oshox22	Os04g0541700	LOC_Os04g45810
OsHOX24	Os02g0649300	LOC_Os02g43330
Oshox4	Os09g0470500	LOC_Os09g29460
OsHPL3	Os02g0110200	LOC_Os02g02000
OsHPR1	Os02g0101500	LOC_Os02g01150
OsHPR2	Os01g0228600	LOC_Os01g12830
OsHrd1	Os06g0301000	LOC_Os06g19680
OsHrd3	Os03g0259300	LOC_Os03g15350
OsHRZ1	Os01g0689300	None
OsHRZ2	Os05g0551000	LOC_Os05g47780
OsHSBP1	Os09g0375100	LOC_Os09g20830
OsHSBP2	Os06g0274000	LOC_Os06g16270
OsHSD1|LGF1	Os11g0499600	LOC_Os11g30560
OsHsf23	Os09g0456800	LOC_Os09g28354
OsHSF6|OsHsfA2c	Os10g0419300	LOC_Os10g28340
OsHSFA2d|OsHSF7	Os03g0161900	LOC_Os03g06630
OsHsfA2e	Os03g0795900	LOC_Os03g58160
OsHsfA4a|OsHsfA4b	Os01g0749300	LOC_Os01g54550
OsHsfA7	Os01g0571300	LOC_Os01g39020
OsHsfB2b	Os08g0546800	LOC_Os08g43334
OsHsfB4b	Os07g0640900	LOC_Os07g44690
OsHsfC1b	Os01g0733200	LOC_Os01g53220
Oshsp16.9	Os01g0136100	LOC_Os01g04370
OsHSP16.9C	Os01g0136000	LOC_Os01g04360
OsHSP17.0	Os01g0136200	LOC_Os01g04380
OsHSP17.7	Os03g0267200	LOC_Os03g16040
OsHsp18.0-CI|Oshsp18.0	Os03g0267000	LOC_Os03g16030
OsHSP18.2|Oshsp18.0-CII	Os01g0184100	LOC_Os01g08860
OsHSP23.7	Os12g0569700	LOC_Os12g38180
Oshsp26	Os03g0245800	LOC_Os03g14180
OsHsp70CP1	Os05g0303000	LOC_Os05g23740
OsHT	Os08g0127100	LOC_Os08g03350
OsHTAS	Os09g0323100	LOC_Os09g15430
OsHUB1|MIP1	Os04g0550400	LOC_Os04g46450
OsHUB2|FRRP1	Os10g0565600	LOC_Os10g41590
OsHUS1	Os04g0528400	LOC_Os04g44620
OsHXA701|HXA701	Os03g0750800	LOC_Os03g53960
OsHXK10	Os05g0375100	LOC_Os05g31110
OsHXK5	Os05g0522500	LOC_Os05g44760
OsHXK6	Os01g0742500	LOC_Os01g53930
OsHXK7	Os05g0187100	LOC_Os05g09500
OsI-BAK1	Os03g0440900	LOC_Os03g32580
OsI_04429|OsAKR3	Os01g0847800	LOC_Os01g62880
OsIAA-At	Os02g0463500	LOC_Os02g26480
OsIAA1	Os01g0178500	LOC_Os01g08320
OsIAA10	Os02g0817600	LOC_Os02g57250
OsIAA11	Os03g0633500	LOC_Os03g43400
OsIAA13|OsiIAA1	Os03g0742900	LOC_Os03g53150
OsIAA23	Os06g0597000	LOC_Os06g39590
OsIAA3	Os01g0231000	LOC_Os01g13030
OsIAA4	Os01g0286900	LOC_Os01g18360
OsIAA9	Os02g0805100	LOC_Os02g56120
OsIAGLU	Os03g0693600	LOC_Os03g48740
OSIAGP	Os06g0319133	LOC_Os06g21410
OsiBBC1	Os03g0576700	LOC_Os03g37970
OsIBH1|IBH1	Os04g0660100	LOC_Os04g56500
OsIBR5	Os06g0308100	LOC_Os06g20340
OsICE1	Os11g0523700	LOC_Os11g32100
OsIDD1	Os03g0197800	LOC_Os03g10140
OsIDD10	Os04g0566400	LOC_Os04g47860
OsIDD2	Os01g0195000|Os01g0195066	LOC_Os01g09850
OsIDD6	Os08g0554400	LOC_Os08g44050
OsIDS1	Os03g0818800	LOC_Os03g60430
OsiEZ1|OsSET1|SDG718	Os03g0307800	LOC_Os03g19480
OsIFL	Os01g0292700	LOC_Os01g18840
OsIG1	Os01g0889400	LOC_Os01g66590
OsIGL|OsIgl	Os03g0797400	LOC_Os03g58300
OsiICK1	None	None
OsiICK6	Os10g0471700	LOC_Os10g33310
OsIM1	Os04g0668900	LOC_Os04g57320
OsIMP	Os03g0587000	LOC_Os03g39000
OsImpbeta1	Os05g0353400	LOC_Os05g28510
OsINO1-1|OsINO1	Os03g0192700	LOC_Os03g09250
OsINO1-2	Os10g0369900	LOC_Os10g22450
OSINV1	Os09g0255000	LOC_Os09g08072
OSINV3	Os02g0106100	LOC_Os02g01590
OSINV4	Os04g0413200	LOC_Os04g33720
OSIPA	Os10g0548600	LOC_Os10g40090
OSIPK	Os12g0230200	LOC_Os12g12860
OsIPK2|IPK2|IP6K	Os02g0523800	LOC_Os02g32370
OsIPMDH	Os03g0655700	LOC_Os03g45320
OSIPP3	Os05g0543000	LOC_Os05g46530
OsIPS1	Os03g0146800	LOC_Os03g05334
OsIPT2	Os03g0356900	LOC_Os03g24240
OsIPT7	Os05g0551700	LOC_Os05g47840
OsIRL	Os01g0106400	LOC_Os01g01660
OsIRO2	Os01g0952800	LOC_Os01g72370
OsIRO3|OsOsbHLH063	Os03g0379300	LOC_Os03g26210
OsIRT1	Os03g0667500	LOC_Os03g46470
OsIRT2	Os03g0667300	LOC_Os03g46454
OsIRX10	Os01g0926700	LOC_Os01g70200
OsIRX14	Os06g0687900	LOC_Os06g47340
OsIRX9	Os07g0694400	LOC_Os07g49370
OsIRX9L	Os01g0675500	LOC_Os01g48440
OsISA1	Os08g0520900	LOC_Os08g40930
OsISA2	Os05g0393700	LOC_Os05g32710
OSISAP1	Os09g0486500	LOC_Os09g31200
OsiSAP7	Os03g0793000	LOC_Os03g57900
OsiSAP8	Os06g0612800	LOC_Os06g41010
OsISI1	Os06g0129300	LOC_Os06g03850
OsIspF	Os02g0680600	LOC_Os02g45660
OsIsu1	Os01g0662600	LOC_Os01g47340
OsITPK1	Os10g0103800	LOC_Os10g01480
OsiWAK1	Os11g0691100	LOC_Os11g46860
OsJ_RLL1	Os05g0588250	LOC_Os05g51070
Osj3g2BTF3	Os03g0851000	LOC_Os03g63400
OsJAC1	Os12g0247700	LOC_Os12g14440
OsJar1|OsGH3.5|OsGH3-5	Os05g0586200	LOC_Os05g50890
