Symbol	RAPdb	MSU
EBL1	Os10g0390800	LOC_Os10g25170
EBR1	Os05g0279400	LOC_Os05g19970
EF-1beta2	Os03g0406200	LOC_Os03g29260
EFA27	Os04g0511200	LOC_Os04g43200
EG1|GY1	Os01g0900400	LOC_Os01g67430
Ehd1	Os10g0463400	LOC_Os10g32600
Ehd2|RID1	Os10g0419200	LOC_Os10g28330
Ehd3	Os08g0105000	LOC_Os08g01420
Ehd4	Os03g0112700	LOC_Os03g02160
eIF-1	Os07g0529800	LOC_Os07g34589
eIF-4a|EIF4A	Os06g0701100	LOC_Os06g48750
EIF3H	Os04g0376500	LOC_Os04g30780
EIF5	Os03g0758800	LOC_Os03g55150
EL5	Os02g0559800	LOC_Os02g35329
ELIP	Os01g0246400	LOC_Os01g14410
EMP5|OsEMP5	Os01g0959600	LOC_Os01g72930
ENAC1	Os01g0862800	LOC_Os01g64310
ENL1	Os04g0692750	LOC_Os04g59624
ENL1L	Os04g0692700	LOC_Os04g59620
EP	Os09g0441400	LOC_Os09g26960
EP3|LP	Os02g0260200	LOC_Os02g15950
EPSPs	Os06g0133900	LOC_Os06g04280
ER-ANT1	Os11g0661300	LOC_Os11g43960
ERS1|OsERS1	Os03g0701700	LOC_Os03g49500
ERS2	Os05g0155200	LOC_Os05g06320
ES1|TUT1|OsSCAR1	Os01g0208600	LOC_Os01g11040
ETR2|Os-ERL1|OsETR2	Os04g0169100	LOC_Os04g08740
ETR3	Os02g0820900	LOC_Os02g57530
ETR4	Os07g0259100	LOC_Os07g15540
EUI1	Os05g0482400	LOC_Os05g40384
EYA1	Os06g0110100	LOC_Os06g02028
FC1|OsCAD7	Os04g0612700	LOC_Os04g52280
FCA|OsFCA	Os09g0123200	LOC_Os09g03610
FCP1|OsCLE402	Os04g0473800	LOC_Os04g39770
FCP2	Os06g0532500	LOC_Os06g34180
Fd	Os05g0443500	LOC_Os05g37140
Fd1	Os08g0104600	LOC_Os08g01380
FDH	Os02g0815500	LOC_Os02g57040
FH5|RMD|BUI1	Os07g0596300	LOC_Os07g40510|LOC_Os07g40520
FIB	Os01g0169800	LOC_Os01g07500
FKF1|OsFKF1	Os11g0547000	LOC_Os11g34460
FLO2	Os04g0645100	LOC_Os04g55230
FLO4|OsPPDKB|ppdk|OsC4PPDK	Os05g0405000	LOC_Os05g33570
FLO6	Os03g0686900	LOC_Os03g48170
FLO7	Os10g0463800	LOC_Os10g32680
FLS	Os02g0767300	LOC_Os02g52840
FNR	Os03g0784700	LOC_Os03g57120
FON1	Os06g0717200	LOC_Os06g50340
FON2|FON4|TG1	Os11g0595400	LOC_Os11g38270
FOS1	Os02g0324400	LOC_Os02g21890
FSM|CAF-1	Os01g0896300	LOC_Os01g67100
FtsZ1	Os04g0665400	LOC_Os04g56970
FtsZ2-1	Os03g0646100	LOC_Os03g44420
FUWA	Os02g0234200	LOC_Os02g13950
FZP|BFL1|SGDP7	Os07g0669500	LOC_Os07g47330
G1	Os07g0139300	LOC_Os07g04670
G11A	Os06g0291600	LOC_Os06g18830
GA20OX4	Os05g0421900	LOC_Os05g34854
GA2OX3|OsGA2OX3	Os01g0757200	LOC_Os01g55240
GAD3	Os03g0236200	LOC_Os03g13300
GADPH	Os03g0129300	LOC_Os03g03720
GASR2	Os03g0607200	LOC_Os03g41060
GAT1	Os02g0708100	LOC_Os02g47850
GD1	Os07g0563300|Os07g0563350	LOC_Os07g37610
GE|CYP78A13	Os07g0603700	LOC_Os07g41240
GF14b|OsGF14b	Os04g0462500	LOC_Os04g38870
GF14c	Os08g0430500	LOC_Os08g33370
GF14f	Os03g0710800	LOC_Os03g50290
GGC2	None	None
gh1|OsCHI	Os03g0819600	LOC_Os03g60509
GH2|OsCAD2	Os02g0187800	LOC_Os02g09490
GH5BG	Os10g0370500	LOC_Os10g22520
Ghd2|OsK	Os02g0731700	LOC_Os02g49880
Ghd7	Os07g0261200	LOC_Os07g15770
Ghd7.1|Hd2|OsPRR37|DTH7	Os07g0695100	LOC_Os07g49460
GIC	Os04g0675800	LOC_Os04g57920
GID1|OsGID1	Os05g0407500	LOC_Os05g33730
GIF1|OsCIN2|OsGIF1	Os04g0413500	LOC_Os04g33740
GIL1	Os10g0378400	LOC_Os10g23220
GK1	Os12g0515600	LOC_Os12g33100
GL3.1|qGL3-1|qGL3|OsPPKL1	Os03g0646900	LOC_Os03g44500
GL3.2	Os03g0417700	LOC_Os03g30420
GLB1	Os05g0499100	LOC_Os05g41970
GLN1;2|GS1;2|OsGS1;2	Os03g0223400	LOC_Os03g12290
GLO1	Os03g0786100	LOC_Os03g57220
GLO2	Os04g0623500	LOC_Os04g53210
